No.,チャプター名,トピック名,単語,読み方,意味,例文,関連漢字,注意,TICK
1,1章,人間,人間,Na,Na,人間は自然とうまく付き合いながら生きてきた。,"人・三人・日本人・一人
AとBの間・時間・人間・間に合う",Na,Na
2,1章,人間,友人,Na,Na,母国から友人が遊びに来た。,友だち・親友,Na,Na
3,1章,人間,知人,Na,Na,この犬は母の知人からもらった。,お知らせ・知名度,Na,Na
4,1章,人間,家族,Na,Na,毎週末家族で買い物に行っている。,家・家内・家賃,Na,Na
5,1章,人間,親類,Na,Na,犬とさるは親類である。,"親・両親・親しい友人
種類",Na,Na
6,1章,人間,祖先,Na,Na,さるは人類の祖先と聞いた。,"祖母・祖父
 先週・ お先にどうぞ",Na,Na
7,1章,人間,子孫,Na,Na,子孫のはんえいを願う。,"電子レンジ・子ども
 孫が生まれた",Na,Na
8,1章,人間,祖父母,Na,Na,祖父母は今年90になった。,"祖母・祖父
母・お母さん・母語
父・お父さん・祖父",Na,Na
9,1章,人間,孫,Na,Na,おじいさんは孫をかわいがる。,孫・子孫,Na,Na
10,1章,人間,三世代,Na,Na,今の息子の世代に戻りたい。,"世代・世紀・世の中
電話代・社長が代わる",Na,Na
11,1章,人間,生活,Na,Na,"祖父母から孫まで三世代で生活する。
 日本で生活する外国人
 生活が楽になる。",生のやさい・学生・生まれる・生き物・問題が生じる・誕生日・日本語を仕事に生かす,Na,Na
12,1章,人間,一家,Na,Na,一家で出かける。,家・家内・家賃,Na,Na
13,1章,人間,集まり,Na,Na,親類の集まりに出る。,集合時間・集める,Na,Na
14,1章,人間,出る,Na,Na,"会議に出る。
 大学を出る。
 効果が出る。",せきが出る・ごみをリサイクルに出す・ 外出中です。,Na,Na
15,1章,人間,親孝行,Na,Na,親孝行をしたいときには親なし,銀行・行く・オリンピックを行う・行事,孝＃考＃教,Na
16,1章,人間,実家,Na,Na,休日は実家に帰るつもりです。,果実・ミカンの実・ミカンが実る,Na,Na
17,1章,人間,懐かしい,Na,Na,家族が懐かしい。,～恋しい,Na,Na
18,1章,人間,三人姉妹,Na,Na,私は三人姉妹の二女です。,"姉妹品・姉
 妹・姉妹",Na,Na
19,1章,人間,末っ子,Na,Na,私は三人姉妹の末っ子です。,末っ子・週末,Na,Na
20,1章,人間,一人っ子,Na,Na,彼は一人っ子なのでわがままだ。,子ども・子孫,長男・長女・次男・次女・三女・三男,Na
21,1章,人間,双子,Na,Na,あの双子はそっくりだ。,双子・双生児,Na,Na
22,1章,人間,仲良し,Na,Na,あの二人は仲良しだ。,"仲間・仲介
良い・良心","仲良し夫婦
 仲がいい
 仲間",Na
23,1章,人間,仕事仲間,Na,Na,私たちは仕事仲間だ。,仲間・仲介,"勉強仲間
 飲み仲間",Na
24,1章,人間,知人,Na,Na,知人が多い。,"お知らせ・知名度
AとBの間・時間・人間・間に合う",Na,Na
25,1章,人間,知り合い,Na,Na,彼女とは長年の知り合いです。,"お知らせ・知名度A
サイズが合う・合格",知人,Na
26,1章,人間,奥様,Na,Na,奥様はいらっしゃいますか。,"引き出しの奥をさがす
",Na,Na
27,1章,人間,ご主人,Na,Na,ご主人はいらっしゃますか。,主食・参加者は主に学生です。,Na,Na
28,1章,人間,お母様,Na,Na,彼女は田中社長のお母様です。,"母・お母さん・母語
多様化・田中様",＞＜お父様,Na
29,1章,人間,お嬢ちゃん,Na,Na,彼女は友達のお嬢ちゃんです。,Na,息子,Na
30,1章,人間,お坊ちゃん,Na,Na,彼は友達のお坊ちゃんです。,Na,娘,Na
31,1章,人間,田中氏,Na,Na,田中氏は多識です。,彼氏,Na,Na
32,1章,人間,ご夫妻,Na,Na,ご夫妻でお越しください。,"夫・夫婦
妻・夫妻",夫婦,Na
33,1章,人間,田中夫人,Na,Na,田中夫人は東大の出身だそうです。,"夫・夫婦
人・三人・日本人・一人","妻
 奥さん
 奥様",Na
34,1章,人間,職場,Na,Na,社員に働きやすい職場を作りたいです。,"就職活動
 売り場・駐車場",Na,Na
35,1章,人間,上司,Na,Na,職場の上司がこわいです。,机の上・上着・上手・値上げする,Na,Na
36,1章,人間,部下,Na,Na,部下は毎日遅れている。,"部屋・テニス部
 机の下・下手・にもつを下す・値下げする",Na,Na
37,1章,人間,先輩,Na,Na,彼は職場では先輩です。,"先日・お先にどうぞ
先輩・後輩",Na,Na
38,1章,人間,後輩,Na,Na,彼は職場では後輩です。,三日後・三日の後・家の後ろ・後輩・後ほど連絡します,Na,Na
39,1章,人間,目上,Na,Na,目上の人を大事にすべきです。,目・目的,＞＜目下,Na
40,1章,人間,年上,Na,Na,彼女は私より三歳年上です。,お年より・年齢,＞＜年下,Na
41,1章,人間,同い年,Na,Na,同い年のいとことよく付き合っている。,同じ・同い年・同様,Na,Na
42,1章,人間,周囲,Na,Na,"子どもは周囲のえいきょうを受けやすいです。
 周囲五キロの島",周りの人・影響範囲,Na,Na
43,1章,人間,付き合い,Na,Na,彼とは長い付き合いです。,トイレ付きのアパート・部屋にエアコンを付ける・付近,Na,Na
44,1章,人間,コミュニケーション,Na,Na,周囲の人々とコミュニケーションを取る。,Na,コミュ障,Na
45,1章,人間,約束,Na,Na,子どもに約束したことを忘れた。,"約10人
 花束", ＃速→速度,Na
46,1章,人間,守る,Na,Na,約束を守る。,守る・時間厳守,Na,Na
47,1章,人間,破る,Na,Na,約束を破る。,破れる・破壊,Na,Na
48,1章,人間,取り消す,Na,Na,注文を取り消す。, 消しゴミ・消防車,～キャンセルする,Na
49,1章,人間,丁寧,Na,Na,"丁寧な言い方をする。
 丁寧に説明してくれる。
 こわれやすいので、丁寧にお使いください。",丁寧・包丁,Na,Na
50,1章,人間,言葉遣い,Na,Na,"丁寧な言葉遣いで話す。
 彼は言葉遣いが悪いです。","言語・言葉・言い方
 落ち葉・葉・紅葉",Na,Na
51,1章,人間,握手,Na,Na,初めて会った人と握手する,"お握り・握手
 手を上げる・ 歌手",Na,Na
52,1章,人間,お辞儀,Na,Na,生徒が先生にお辞儀をする。,"辞書・仕事を辞める
 礼儀正しい",Na,Na
53,1章,人間,性格,Na,Na,"彼は落ち着いた性格の人です。
彼らは性格の不一致が理由で離婚しました。","水性ボールペン
リーダー格",Na,Na
54,1章,人間,特徴,Na,Na,"長い鼻が象の特徴です。
簡潔なのが彼の文章の特徴です。","特別
特徴",Na,Na
55,1章,人間,長所,Na,Na,"長所をみがく・生かす・のばす。
この機械の長所はほとんど修理が要らないことです。","長年・会長
事務所・近所・いい所・台所",～よいところ,Na
56,1章,人間,短所,Na,Na,"すぐおこるのが私の短所です。
彼の案には長所も短所もあります。",短気な人・短いスカート,Na,Na
57,1章,人間,対,Na,Na,"二人で対になるもの
一対の夫婦茶碗",一対一・ 対になる表現,＃三対二の割合で混ぜる。,Na
58,1章,人間,表現,Na,Na,"全身で個性を表現します。
この美しさは言葉で表現できません。
「亡くなる」は「死ぬ」の意の表現です。","怒りが顔に表れた・ふうとうの表・この表をご覧ください。
太陽が現れる・現在は外出中です。",Na,Na
59,1章,人間,積極的,Na,Na,彼は知育社会の仕事に積極的でした。,"ほこりが積もる。積雪30センチ（せきせつ）
南極・極めて
目的","><消極的
消費者・消しゴム・電気が消える",Na
60,1章,人間,おとなしい,Na,Na,"彼は内気で大人しい青年です。
彼は先生の前ではおとなしいです。
もう少しおとなしくしてください！",Na,大人しい,Na
61,1章,人間,やかましい,Na,Na,"工場の音がやかましいです。（＝うるさい）
生徒にやかましい先生（＝きびしい）
手続きがやかましいです。（＝複雑）
彼は食べ物にやかましいです。",Na,うるさい,Na
62,1章,人間,慎重,Na,Na,"彼はその質問に慎重な答え方をしました。
万事に慎重な人",重さ・重要なお知らせ・慎重,"><軽率（けいそつ）
 慎＃真",Na
63,1章,人間,そそっかしい,Na,Na,"そそっかしくていつも忘れ物をしています。
あの人はそそっかしいから時々帽子を忘れて行きます。",慌て者,～落ち着かない,Na
64,1章,人間,きちんとした,Na,Na,彼女はきちんとした人です。,Na,><だらしない,Na
65,1章,人間,だらしない,Na,Na,"彼はだらしない人で、部屋はいつも汚いです。
お金にだらしない。
最近の親は子供にだらしないです。",Na,><きちんとした,Na
66,1章,人間,器用,Na,Na,"器用にはしを使います。
何事も器用にこなします。","食器・ご飯を器に盛る。
使用禁止・ 新しい方法を用いる。",><不器用な手つき,Na
